st_mass,st_met,st_lum
-0.7423214251308154,-0.12,-2.35853
-0.2006594505464183,0.33,-1.05404
0.012415374762432893,0.025,0.22789
-0.18708664335714442,0.17,-0.4437
0.01703333929878037,0.02,0.20683
-0.036212172654444715,-0.53,0.288
-0.28399665636520083,-0.29,-1.49
0.11727129565576427,0.27,0.61
0.08635983067474821,0.17,0.63849
-0.05060999335508721,0.03,-0.106
-0.08618614761628333,-0.17,-0.24413
-0.368556230986828,-0.39,-1.64264
-0.28399665636520083,-0.08,-1.377
0.08707120590653541,0.28,0.21484
-0.2549252084179425,-0.19,-1.23003
0.02530586526477026,-0.02,0.33646
-0.03151705144606486,0.24,-0.323
-0.060480747381381476,0.09,-0.39
-0.24412514432750865,-0.14,-1.217
0.00475115559100102,-0.088,0.08991
-0.769551078621726,0.01,-1.16368
0.012837224705172217,0.26,0.03743
-0.10292299679057967,0.15,-0.57512
-0.0291883891274822,-0.003,-0.19777
0.11058971029924898,0.01,0.602
-0.004364805402450088,0.03,-0.12494
-0.09691001300805639,-0.27,-0.37675
0.13987908640123647,0.35,0.64
-0.09151498112135022,-0.34,-0.00436
0.10037054511756291,0.24,0.42813
0.08990511143939793,0.14,0.31639
0.11727129565576427,0.08,0.502
0.05307844348341968,0.24,0.19
-0.1549019599857432,-0.11,-0.3098
0.0,0.336,-0.229
0.01577875638904093,0.28,-0.03152
-0.017728766960431602,-0.17,0.07918
-0.05551732784983137,0.0,-0.35853
-0.11975822410451964,0.0,-0.64589
-0.07109230975604734,0.14,-0.44009
-0.14327110961711742,0.252,-0.82102
-0.07987667370927608,-0.05,-0.41364
-0.13548891894160814,-0.02,-0.72793
-0.3819519032879073,-0.07,-1.64016
-0.04527520902093701,-0.27,0.05308
-0.10902040301031106,-0.04,-0.51004
0.006466042249231681,-0.09,-0.00877
-0.4814860601221125,-0.55,-1.863
-0.3106911408763798,-0.06,-1.43415
0.05690485133647256,0.18,0.2014
-0.37675070960209955,0.17,-1.61439
-0.017728766960431602,-0.19,0.29
-0.01322826573375516,-0.29,-0.102
-0.05848856736559697,0.16,-0.15304
0.06445798922691845,-0.15,0.34044
-0.26760624017703144,-0.01,-1.21183
-0.16115090926274472,-0.37,-0.678
0.13353890837021754,0.25,0.54
-0.4089353929735008,-0.09,-1.70997
-0.20134935455473107,-0.01,-0.99576
-0.26042765554990804,-0.157,-1.23136
-0.44611697335612566,-0.02,-1.82391
-0.17263072694617473,0.19,-1.01773
-0.3467874862246563,0.0,-1.48678
-0.9208187539523752,-0.25,-2.85201
-0.05060999335508721,0.03,-0.16368
-0.06550154875643228,0.03,-0.24642
0.10754912974468628,0.24,0.471
0.125481265700594,0.28,0.544
-0.8569851997459049,-0.09,-2.63827
0.0,0.09,0.04139
-0.14874165128092473,0.15,-0.78516
0.059563417901267686,0.24,0.25261
0.00860017176191757,0.27,-0.16749
-0.3269790928711038,0.12,-1.48149
-0.16241156176448873,-0.47,-0.67572
-0.4762535331884355,0.05,-1.886
-0.5100415205751654,0.0,-1.93742
0.1610683854711746,-0.1,0.7679
0.05230909964732344,0.377,0.05614
-0.2388241868442686,-0.19,-1.10891
-0.14874165128092473,-0.092,-0.70997
-0.09691001300805639,0.0,-0.20761
-0.10734896612269966,0.18,-0.67799
0.1637575239819558,-0.405,0.90472
-0.5376020021010439,0.04,-1.97102
-0.16115090926274472,-0.22,-0.68194
0.13001194967190424,-0.004,0.54654
-0.06398920428479041,0.0,-0.42946
0.011147360775797479,-0.069,0.22737
0.13987908640123647,0.03,0.77743
0.17609125905568124,0.37,0.73
-0.790484985457369,-0.38,0.53148
-0.47495519296315475,0.27,-1.85078
-0.1549019599857432,-0.09,-0.187
-0.3979400086720376,0.1,-1.708
0.03342375548694973,0.0,-0.1549
0.008174184006426355,0.018,0.07188
-0.43415218132648237,-0.19,-1.76802
-0.23807216157947098,-0.03,-1.15366
0.13129779659762297,0.13,0.51851
0.11058971029924898,0.37,0.43
-0.23657200643706275,0.08,-1.206
-0.036212172654444715,0.2,-0.20273
0.045322978786657475,0.0,0.149
0.06295783408451022,0.016,0.29951
-0.23657200643706275,0.16,-1.09691
-0.06550154875643228,0.1,-0.32
-0.37059040089728107,-0.22,-1.52288
0.02530586526477026,0.08,0.17319
-0.05060999335508721,0.16,-0.37675
-0.05060999335508721,-0.18,0.13988
-0.31327437892545784,0.17,-1.55988
-0.21183162885883233,-0.03,-1.14086
-0.33254704711004607,-0.45,-1.47756
0.08314414314305227,-0.002,0.4014
0.037426497940623665,-0.11,0.27646
-0.384049948343599,-0.28,-1.58528
-0.4698003017969178,-0.04,-1.79724
-0.40461401919085827,0.264,-1.78968
0.04139268515822508,0.16,0.10721
0.00860017176191757,-0.135,0.27646
-0.16115090926274472,-0.05,-1.10292
-0.1938200260161128,-0.03,-1.10127
-0.022276394711152253,0.22,-0.09151
-0.28819277095880896,0.13,-1.30645
-1.0506099933550872,-0.19,-3.13668
-0.3979400086720376,-0.17,-1.76955
-0.045757490560675115,-0.15,-0.25649
-0.3774751375964318,0.15,-1.61618
0.039017321997412,0.08,0.15957
-0.28483264215154214,-0.06,-1.34199
0.05153839051532738,-0.12,0.28035
-0.09691001300805639,-0.042,-0.4437
0.09342168516223506,0.34,0.33
-0.17392519729917355,-0.17,-0.76195
-0.13076828026902382,0.17,-0.3098
0.012837224705172217,0.3,0.1959
-0.1681302257194983,0.12,-0.86967
0.09691001300805642,-0.007,0.45939
0.046104787246038705,0.09,0.21748
-0.09151498112135022,-0.15,-0.18709
0.09342168516223506,0.18,0.29885
-0.059981844992336796,0.0,-0.20412
0.06333335895174956,-0.11,0.43297
-0.431798275933005,0.0,-1.732
-0.7347103741391698,-0.12,-2.39513
-0.09151498112135022,-0.29,-0.097
0.08635983067474821,0.06,0.413
-0.37059040089728107,-0.09,-1.57073
0.10720996964786837,0.34,0.58546
-0.09691001300805639,0.11,-0.592
-0.09691001300805639,-0.07,-0.24413
0.12385164096708581,0.29,0.38
-0.30277065724028246,0.08,-1.38091
-0.10017949757290372,0.08,-0.50864
-0.3269790928711038,0.0,-1.42481
0.029383777685209667,0.14,0.3032
-0.34294414714289606,0.3,-1.51542
-0.045757490560675115,0.1,-0.18
-0.040958607678906384,0.12,-0.29158
0.14891099310935643,0.276,0.56348
0.05880548667590681,-0.041,0.27875
0.1829849670035817,0.09,0.81291
-0.07109230975604734,-0.02,-0.4437
-0.5361070110140927,-0.18,-1.99542
-0.01322826573375516,0.136,-0.4437
-0.2388241868442686,0.35,-1.28819
-0.1938200260161128,0.0,-1.04576
-0.040958607678906384,-0.21,-0.089
-0.33441900898204685,0.05,-1.57138
-0.2907300390241692,0.05,-1.46852
0.08635983067474821,0.05,2.13
-0.10237290870955855,-0.42,-0.16311
-0.20760831050174613,-0.29,-1.00436
0.07918124604762482,0.24,0.415
-0.09691001300805639,0.2,-0.489
-0.08092190762392612,0.04,-0.3098
-0.26440110030182007,-0.2,-1.3098
-0.5341711846425635,-0.46,-1.91364
-0.35753547975787864,-0.43,-1.43997
0.016615547557177382,0.07,0.25285
-0.028724151261894745,0.22,-0.33819
-0.08512818245994963,-0.025,-0.51428
0.1673173347481761,-0.25,0.80618
-0.19246497193114673,-0.29,-0.86487
-0.5272435506827877,0.1,-1.97224
-0.7864822430036951,-0.13,-2.45469
-0.790484985457369,-0.56,-2.44977
0.04921802267018165,0.24,0.30255
0.11058971029924898,0.18,0.572
0.0,0.34,-0.10403
-0.7931741239681502,0.13,-2.53254
-0.10790539730951958,-0.36,-0.161
-0.008330992620051497,-0.09,0.04766
-0.46852108295774486,0.03,-1.88606
-0.34198860334288755,-0.01,-1.5391
0.045322978786657475,0.22,0.06
0.05115252244738129,0.05,0.114
-0.05060999335508721,0.16,-0.20761
-0.3777859770337047,0.12,-1.60906
0.1192558892779367,0.24,0.41497
-0.08092190762392612,-0.24,0.32428
-0.7772835288524167,0.07,-2.53106
-0.16115090926274472,-0.05,-0.91364
-0.1804560644581313,-0.1,-0.85699
-0.24412514432750865,-0.58,-1.0
-0.08460016478773018,0.04,-0.40121
0.021189299069938092,0.37,0.11461
0.11793383503964149,0.25,0.47129
-0.14874165128092473,0.08,-0.58503
-0.05060999335508721,0.07,-0.16749
-0.42136079003192767,0.09,-1.77728
-0.12493873660829995,0.01,-0.60206
0.04493154614916006,0.1,0.0983
-0.530177984021837,-0.08,-1.90781
-0.057991946977686754,0.04,-0.14267
0.24303804868629444,0.0,1.08743
0.01367969729119256,0.14,-0.00436
-0.3979400086720376,-0.1,-1.79588
-0.11350927482751812,-0.31,-0.639
-0.017728766960431602,0.4,-0.137
-0.34008379993014975,0.09,-1.58503
-0.3565473235138126,-0.32,-1.55284
-0.09366495819490933,-0.4,-0.27327
-0.026872146400301365,0.16,0.075
-0.21041928783557454,-0.47,-1.05899
0.0835026198302674,0.0,0.29226
-0.036212172654444715,-0.12,-0.149
0.05307844348341968,0.21,0.061
0.08278537031645007,0.08,0.28103
-0.022276394711152253,0.23,-0.222
-0.36653154442041347,-0.05,-1.69897
-0.27572413039921095,0.376,-1.3098
-0.17392519729917355,-0.61,-0.40894
-0.4775557664936801,-0.15,-1.9165
0.021189299069938092,-0.13,0.425
0.13033376849500614,-0.1,0.67117
0.18069920129603473,0.282,0.65321
-0.10292299679057967,0.03,-0.48017
-0.6270879970298935,-0.13,-2.14569
-0.09691001300805639,0.3,-0.449
-0.060480747381381476,0.05,-0.3279
-0.2907300390241692,-0.26,-1.36653
-0.3010299956639812,-0.1,-1.658
0.08635983067474821,0.28,0.332
-0.7510463845042924,-0.2,-2.44503
-0.2924298239020636,-0.14,-1.36653
-0.8239087409443188,-0.13,-2.59517
0.00860017176191757,0.25,0.14613
-0.3124710387853657,0.148,-1.51215
0.00860017176191757,0.09,-0.1549
-0.21752737583371382,0.05,-1.05715
0.1195857749617838,0.141,0.52634
-0.46597389394386496,-0.12,-1.79833
-0.1549019599857432,0.0,-0.72125
-0.045757490560675115,-0.11,-0.14
-0.1549019599857432,-0.17,-1.04576
-0.03151705144606486,0.01,-0.08502
-0.2898826348881837,0.0,-1.3536
-0.27810698378504256,-0.02,-1.2909
0.20951501454263097,-0.12,0.97772
-0.17392519729917355,-0.2,-0.62525
0.08278537031645007,-0.02,0.544
-0.22548303427145044,0.11,-1.3098
0.019946681678842306,0.1,0.301
-0.23657200643706275,-0.1,-1.27572
-0.579384229374235,0.15,-2.08831
-0.01322826573375516,-0.06,-0.01412
0.04139268515822508,0.11,0.06819
-0.8477116556169435,-0.18,-2.65857
-0.42596873227228116,-0.32,-1.663
-0.047691990337874794,0.103,-0.31785
-0.18708664335714442,0.6,-0.84527
0.1673173347481761,0.0,0.5832
0.0,0.03,0.26
-0.9100948885606021,-0.07,-2.8041
-0.1938200260161128,0.0,-1.06048
-0.004364805402450088,0.12,-0.04818
-0.3142582613977364,0.041,-1.48678
-0.9281179926938746,-0.028,-2.84134
-0.4473317838878068,0.3,-1.796
-0.28399665636520083,0.099,-1.43533
-0.02502800570193105,-0.105,0.03383
-0.0510982390297863,-0.31,0.23198
-0.2740883677049518,-0.22,-1.35655
-0.46344155742846993,-0.08,-1.91542
-0.5686362358410126,0.0,-2.06198
-0.10237290870955855,0.02,-0.56864
-0.05060999335508721,-0.21,1.057
-0.040958607678906384,-0.48,0.43
-0.1549019599857432,-0.05,-0.7167
-0.3655227298392684,-0.195,-1.5376
-0.7495799976911061,0.29,-2.33724
-0.09151498112135022,-0.14,-0.438
-0.05948351506743278,0.23,-0.41
-0.7495799976911061,-0.04,-2.4389
0.07918124604762482,0.22,0.51587
-0.3925449767853314,-0.17,-1.62986
0.012837224705172217,0.04,0.05308
-0.1366771398795441,0.09,0.19
-0.6172627342386696,-0.32,-2.13787
-0.0660068361687577,-0.02,-0.28483
0.146128035678238,0.21,0.662
0.021189299069938092,0.14,-0.11
-0.1549019599857432,0.15,-0.38722
-0.06348625752110672,0.0,-0.42713
-0.18442225167573273,0.09,-1.06048
0.029383777685209667,-0.24,0.29003
0.0,0.16,0.13
0.04139268515822508,0.28,0.25527
-0.4814860601221125,-0.21,-1.93
-0.1549019599857432,-0.14,-1.022
-0.44369749923271273,-0.03,-1.77211
0.24551266781414982,-0.29,1.1038
-0.7594507517174003,-0.24,-2.38722
0.04960561259497315,0.28,0.15534
-0.22914798835785583,0.41,-1.12494
-0.07727454200674003,0.11,-0.43227
0.05346260492545529,0.3,0.09342
-0.13076828026902382,-0.03,-0.678
0.1553360374650618,0.22,0.69723
-0.1284270644541213,0.12,-0.7167
-0.01322826573375516,-0.1,0.17319
0.004321373782642578,-0.26,0.2833
-0.9208187539523752,-0.08,-2.76955
-0.5228787452803376,-0.25,-1.92082
-0.07058107428570728,-0.23,-0.45469
0.11826472608947933,0.09,0.47407
-0.25181197299379954,-0.13,-1.3098
-0.01322826573375516,0.16,-0.22185
-0.18708664335714442,0.24,-0.92445
-0.266000713461613,0.08,-1.31876
-0.05551732784983137,0.05,-0.06
0.01703333929878037,0.0,0.093
-0.7342390832823894,-0.15,-2.42022
0.08278537031645007,0.05,0.47
-0.11350927482751812,-0.04,-0.73755
